Address,Price
"303 E 57th St APT 28B, New York, NY 10022","300,000"
"100 W 57th St #19M, New York, NY 10019","109,000"
"303 E 57th St APT 32B, New York, NY 10022","329,000"
"303 E 57th St #37DE, New York, NY 10022","495,000"
"303 E 57th St APT 6L, New York, NY 10022","375,000"
"12 E 63rd St, New York, NY 10065","61,000,000"
"432 Park Ave #PENTHOUSE, New York, NY 10022","169,000,000"
"206 E 7th St #19/20, New York, NY 10009","950,000"
"100 W 57th St APT 5R, New York, NY 10019","173,000"
"303 E 57th St APT 28B, New York, NY 10022","300,000"
"100 W 57th St #19M, New York, NY 10019","109,000"
"303 E 57th St APT 32B, New York, NY 10022","329,000"
"303 E 57th St #37DE, New York, NY 10022","495,000"
"303 E 57th St APT 6L, New York, NY 10022","375,000"
"12 E 63rd St, New York, NY 10065","61,000,000"
"432 Park Ave #PENTHOUSE, New York, NY 10022","169,000,000"
"206 E 7th St #19/20, New York, NY 10009","950,000"
"709 E 51st St, Brooklyn, NY 11203","899,000"
"13 Nova Ct, Brooklyn, NY 11229","699,000"
"440 Van Brunt St, Brooklyn, NY 11231","13,995,000"
"1520 Bedford Ave APT 4A, Brooklyn, NY 11216","699,000"
"1105 Winthrop St, Brooklyn, NY 11212","400,000"
"974 E 43rd St, Brooklyn, NY 11210","550,000"
"447 Humboldt St PENTHOUSE A, Brooklyn, NY 11211","1,350,000"
"97 S 8th St APT 22, Brooklyn, NY 11249","325,000"
"57 Wyckoff St, Brooklyn, NY 11201","12,500,000"
"278 Nassau Ave APT 3A, Brooklyn, NY 11222","949,000"
"2875 W 32nd St, Brooklyn, NY 11224","654,000"
"427 15th St APT 4B, Brooklyn, NY 11215","829,000"
"422 Avenue W, Brooklyn, NY 11223","1,100,000"
"55 Montgomery Pl APT 4F, Brooklyn, NY 11215","465,000"
"281 Wyona St, Brooklyn, NY 11207","479,900"
"2380 E 71st St, Brooklyn, NY 11234","859,999"
"1435 Ovington Ave, Brooklyn, NY 11219","1,399,000"
"779 Logan St, Brooklyn, NY 11208","749,000"
"1404 E 104th St, Brooklyn, NY 11236","650,000"
"201 E 96th St, Brooklyn, NY 11212","1,295,000"
"9801 Shore Rd APT AA, Brooklyn, NY 11209","295,000"
"9007 Avenue L, Brooklyn, NY 11236","638,000"
"871 50th St, Brooklyn, NY 11220","56,900"
"1457 81st St, Brooklyn, NY 11228","1,350,000"
"156 Norfolk St, Brooklyn, NY 11235","1,799,999"
"9306 Flatlands Ave, Brooklyn, NY 11236","975,000"
